127.0.0.1, 2018-09-30 13:40:30, GET, /, HTTP/1.1, 303, 0.190848
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.284905
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001231
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002828
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002190
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001451
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002358
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010543
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001565
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000970
127.0.0.1, 2018-09-30 13:40:31, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001094
127.0.0.1, 2018-09-30 13:40:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000820
127.0.0.1, 2018-09-30 13:41:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.051529
127.0.0.1, 2018-09-30 13:41:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.027534
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/default/site, HTTP/1.1, 303, 0.131233
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/default/index, HTTP/1.1, 200, 0.031196
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.002727
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.000698
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.000597
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.001678
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001372
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001085
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000654
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000670
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000566
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001143
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002472
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002373
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000642
127.0.0.1, 2018-09-30 13:41:43, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.000627
127.0.0.1, 2018-09-30 13:41:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2018-09-30 13:41:46, POST, /admin/default/index, HTTP/1.1, 303, 0.018285
127.0.0.1, 2018-09-30 13:41:46, GET, /admin/default/site, HTTP/1.1, 200, 0.052327
127.0.0.1, 2018-09-30 13:41:46, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.001118
127.0.0.1, 2018-09-30 13:41:46, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.000705
127.0.0.1, 2018-09-30 13:41:47, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000568
127.0.0.1, 2018-09-30 13:41:47, POST, /admin/default/check_version, HTTP/1.1, 200, 0.294058
127.0.0.1, 2018-09-30 13:41:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2018-09-30 13:42:58, GET, /admin/wizard/index, HTTP/1.1, 200, 0.030504
127.0.0.1, 2018-09-30 13:42:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2018-09-30 13:43:02, GET, /admin/default/site, HTTP/1.1, 200, 0.034569
127.0.0.1, 2018-09-30 13:43:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2018-09-30 13:43:16, GET, /admin/default/site, HTTP/1.1, 200, 0.036167
127.0.0.1, 2018-09-30 13:43:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000458
127.0.0.1, 2018-09-30 13:43:19, GET, /admin/default/index, HTTP/1.1, 303, 0.002626
127.0.0.1, 2018-09-30 13:43:19, GET, /admin/default/site, HTTP/1.1, 200, 0.028161
127.0.0.1, 2018-09-30 13:43:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2018-09-30 13:43:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.034364
